Policy Number,Start Date,Last Paid Date,Tenure (Years),Date of Purchase,Customer ID,Sum Assured MUR/Coverage Amount,Premium Amount,Payment Frequency,Loan Eligible,Loan Amount Allowed,Underwriting expenses,Sales Agent Code,Purchase Month,Purchase Quarter,Purchase Year,Policy Anniversary Date,Claim ID,Policy Type Code,Policy Code,Policy Status,State,RM ID,Zonal Manager ID
IGD-POL-296684,24-04-2015,25-May-25,20,24-Apr-15,CUST-187435,942971.82,53787.92,Monthly,Yes,339194.64,8060.25,AGT-2109,April,Q2,2015,24-Apr-16,CLM-258599,TR-UNCD988,RSP-IGMU-9856,Active,Black River,RMW8C6P3,ZMW3T7P8
IGD-POL-476824,13-03-2015,17-Apr-25,5,13-Mar-15,CUST-380006,4917516.64,64793.45,Monthly,Yes,3172353.53,6137.22,AGT-6578,March,Q1,2015,13-Mar-16,CLM-400475,TR-ENDD989,ILG-IGMU-9829,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-380803,09-11-2015,26-Jun-25,15,09-Nov-15,CUST-260861,4298769.35,44691.03,Monthly,No,0.0,3436.22,AGT-1909,November,Q4,2015,09-Nov-16,CLM-594653,TR-ENDD989,SGT-IGMU-9812,Surrendered,Grand Port,RMS4B9K2,ZMS5Q4R2
IGD-POL-157316,05-04-2015,04-Jul-16,5,05-Apr-15,CUST-326088,4318201.53,78648.26,Annually,No,0.0,11744.57,AGT-2345,April,Q2,2015,05-Apr-16,CLM-944134,TR-UNCD988,RSP-IGMU-9856,Surrendered,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
IGD-POL-896650,07-08-2015,26-Mar-25,5,07-Aug-15,CUST-905154,3325339.97,51353.55,Quarterly,Yes,2140431.64,6623.8,AGT-1465,August,Q3,2015,07-Aug-16,CLM-929059,TR-WHCD968,FPP-IGMU-9813,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-200141,10-08-2015,21-Nov-25,25,10-Aug-15,CUST-986585,2602502.99,15770.66,Monthly,Yes,947763.41,580.38,AGT-2109,August,Q3,2015,10-Aug-16,CLM-101785,TR-ENDD989,ILG-IGMU-9829,Active,Black River,RMW8C6P3,ZMW3T7P8
IGD-POL-499016,17-06-2015,20-Apr-25,5,17-Jun-15,CUST-295386,1146171.92,71910.37,Quarterly,No,0.0,5368.89,AGT-1900,June,Q2,2015,17-Jun-16,CLM-528968,TR-WHCD968,WLS-IGMU-9814,Active,Vacoas-Phoenix,RMC9F7L5,ZMN8K2L1
IGD-POL-911321,09-06-2015,12-Jul-25,25,09-Jun-15,CUST-882950,3646394.82,73154.7,Monthly,Yes,1449721.02,12132.24,AGT-3488,June,Q2,2015,09-Jun-16,CLM-550262,TR-UNCD988,RSP-IGMU-9856,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-322682,20-08-2015,21-Nov-25,5,20-Aug-15,CUST-970872,3008075.81,11352.91,Annually,Yes,1245250.77,1102.9,AGT-1465,August,Q3,2015,20-Aug-16,CLM-257574,TR-WHCD968,WLS-IGMU-9814,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-141725,05-07-2015,26-Jun-18,20,05-Jul-15,CUST-245523,512530.35,8187.33,Annually,Yes,292570.73,672.86,AGT-3150,July,Q3,2015,05-Jul-16,CLM-731267,TR-UNCD988,RSP-IGMU-9856,Surrendered,Savanne,RMS4B9K2,ZMS5Q4R2
IGD-POL-644090,05-03-2015,17-May-25,20,05-Mar-15,CUST-964710,1650644.49,51293.82,Monthly,Yes,1005874.39,8277.12,AGT-3488,March,Q1,2015,05-Mar-16,CLM-636646,TR-WHCD968,IPM-IGMU-9832,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-155695,13-09-2015,15-Aug-17,20,13-Sep-15,CUST-328504,4079639.96,51143.38,Annually,No,0.0,8272.75,AGT-1800,September,Q3,2015,13-Sep-16,CLM-468301,TR-ENDD989,WBM-IGMU-9833,Lapsed,Beau Bassin-Rose Hill,RMC9F7L5,ZMN8K2L1
IGD-POL-962249,07-01-2015,23-Feb-25,20,07-Jan-15,CUST-160765,4133104.57,67254.37,Monthly,No,0.0,8528.22,AGT-4980,January,Q1,2015,07-Jan-16,CLM-248457,TR-ENDD989,SGT-IGMU-9812,Active,Curepipe,RMC9F7L5,ZMN8K2L1
IGD-POL-452886,06-03-2015,20-May-25,10,06-Mar-15,CUST-481965,3755931.8,82880.06,Annually,Yes,1016518.4,14416.34,AGT-1465,March,Q1,2015,06-Mar-16,CLM-606599,TR-UNCD988,RSP-IGMU-9856,Active,Moka,RMC9F7L5,ZMN8K2L1
IGD-POL-515707,09-02-2015,21-Aug-23,25,09-Feb-15,CUST-722531,1670455.56,47225.67,Quarterly,Yes,761977.55,5306.37,AGT-5980,February,Q1,2015,09-Feb-16,CLM-427609,TR-ENDD989,ILG-IGMU-9829,Surrendered,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-962236,24-12-2015,06-Apr-25,5,24-Dec-15,CUST-534371,314755.51,52157.83,Annually,No,0.0,4599.14,AGT-2941,December,Q4,2015,24-Dec-16,CLM-651399,TR-UNCD988,RSP-IGMU-9856,Active,Flacq,RMN7A3X1,ZMN8K2L1
IGD-POL-472168,08-12-2015,11-Jun-18,25,08-Dec-15,CUST-404196,686738.11,32400.6,Annually,No,0.0,5711.86,AGT-1800,December,Q4,2015,08-Dec-16,CLM-235874,TR-WHCD968,IPM-IGMU-9832,Surrendered,Beau Bassin-Rose Hill,RMC9F7L5,ZMN8K2L1
IGD-POL-868996,22-01-2015,16-Sep-25,10,22-Jan-15,CUST-462352,656901.32,23264.94,Quarterly,Yes,382953.54,3664.3,AGT-5467,January,Q1,2015,22-Jan-16,CLM-598702,TR-WHCD968,WLS-IGMU-9814,Active,Quatre Bornes,RMC9F7L5,ZMN8K2L1
IGD-POL-318334,28-12-2015,17-Jun-25,25,28-Dec-15,CUST-148634,3755469.65,38602.22,Monthly,Yes,1882825.99,6910.14,AGT-3894,December,Q4,2015,28-Dec-16,CLM-141647,TR-WHCD968,WLS-IGMU-9814,Active,Port Louis,RMC9F7L5,ZMN8K2L1
IGD-POL-244112,21-11-2015,11-Dec-19,5,21-Nov-15,CUST-948600,100000.0,74706.98,Quarterly,No,0.0,4318.64,AGT-2345,November,Q4,2015,21-Nov-16,CLM-871499,TR-ENDD989,SGT-IGMU-9812,Surrendered,Plaines Wilhems,RMC9F7L5,ZMN8K2L1
